Date,Value
2016-12-31,8.2644628099173
2016-11-30,12.230215827338
2016-10-31,14.432989690722
2016-09-30,21.122112211221
2016-08-31,17.013888888889
2016-07-31,10.38961038961
2016-06-30,18.098159509202
2016-05-31,18.731117824773
2016-04-30,18.649517684887
2016-02-29,20.4
2016-01-31,20.901639344262
2015-12-31,18.292682926829
2015-11-30,19.083969465649
2015-10-31,23.487544483986
2015-09-30,23.741007194245
2015-08-31,18.333333333333
2015-02-28,16.474
2015-01-31,16.3265
2014-12-31,16.2651
2014-11-30,15.8209
2014-10-31,15.4494
2014-09-30,13.6095
2014-08-31,12.6404
2014-07-31,9.1413
2014-06-30,8.9888
2014-05-31,9.4828
2014-04-30,10.6918
2014-03-31,9.4595
2014-02-28,9.0909
2014-01-31,10.8108
2013-12-31,11.1111
2013-11-30,12.2159
2013-10-31,12.1372
2013-09-30,10.6771
2013-08-31,11.6915
2013-07-31,9.8361
2013-06-30,9.7852
2013-05-31,8.3333
2013-04-30,11.4286
2013-03-31,12.3249
2013-02-28,11.276
2013-01-31,11.3433
2012-12-31,9.8266
2012-11-30,12.3037
2012-10-31,13.7755
2012-09-30,13.8958
2012-08-31,11.8056
2012-07-31,15.13
2012-06-30,12.1739
2012-05-31,12.1145
2012-04-30,12.6728
2012-03-31,12.619
2012-02-29,14.6988
2012-01-31,12.5523
2011-12-31,13.2505
2011-11-30,18.6879
2011-10-31,18.1287
2011-09-30,24.5763
2011-08-31,25.8403
2011-07-31,24.3243
2011-06-30,25.6311
2011-05-31,21.371
2011-04-30,18.7123
2011-03-31,19.2469
2011-02-28,16.7785
2011-01-31,20.0472
2010-12-31,18.3908
2010-11-30,18.5996
2010-10-31,21.3531
2010-09-30,22.7545
2010-08-31,20.0
2010-07-31,22.8106
2010-06-30,23.3032
2010-05-31,23.6145
2010-04-30,22.5888
2010-03-31,16.6213
2010-02-28,14.1274
